iter	MultiClass
0	2.116865825
1	2.036396512
2	1.96422673
3	1.909686211
4	1.862236229
5	1.822201059
6	1.781501651
7	1.73716571
8	1.700776485
9	1.662241084
10	1.628234095
11	1.597256612
12	1.573382189
13	1.545893806
14	1.520632664
15	1.496615012
16	1.473263673
17	1.452035259
18	1.431276375
19	1.413714094
20	1.395401137
21	1.377633393
22	1.362724786
23	1.348636486
24	1.335058171
25	1.323033422
26	1.310740478
27	1.298969111
28	1.28906854
29	1.28164769
30	1.270721032
31	1.260506286
32	1.249893526
33	1.243389253
34	1.233304128
35	1.223494316
36	1.215814212
37	1.208502767
38	1.200048574
39	1.194140194
40	1.186359102
41	1.178566338
42	1.171501657
43	1.164224484
44	1.157780927
45	1.152377482
46	1.145467979
47	1.140108551
48	1.134769714
49	1.12898023
50	1.124463004
51	1.120102074
52	1.1156254
53	1.111297721
54	1.10600153
55	1.101145077
56	1.097149838
57	1.091943103
58	1.088641482
59	1.085305725
60	1.081246065
61	1.077729045
62	1.074433848
63	1.070991888
64	1.067454723
65	1.063754013
66	1.059975807
67	1.056880135
68	1.053643289
69	1.050715284
70	1.0473392
71	1.044306024
72	1.040889544
73	1.03760032
74	1.034192111
75	1.030707415
76	1.027696918
77	1.025487668
78	1.022312727
79	1.019371808
80	1.016040373
81	1.013142219
82	1.010603606
83	1.007867509
84	1.005330866
85	1.003535246
86	1.000418579
87	0.9976565539
88	0.995266569
89	0.9934042171
90	0.990584853
91	0.9880736158
92	0.9850489102
93	0.9821859545
94	0.9792273396
95	0.9764375079
96	0.9743798964
97	0.9719143235
98	0.9694531439
99	0.9665882963
100	0.9645727766
101	0.9614630675
102	0.9585609043
103	0.9562649835
104	0.9539641178
105	0.9515589024
106	0.9492650616
107	0.9471818073
108	0.9449056358
109	0.9419457495
110	0.9399826234
111	0.9377509276
112	0.9350931884
113	0.9337814588
114	0.9313413746
115	0.9295638416
116	0.9272057495
117	0.9250744554
118	0.9226741442
119	0.9206445243
120	0.9186111156
121	0.9162508754
122	0.9147613465
123	0.9122017136
124	0.9099822069
125	0.907887233
126	0.9058653425
127	0.9037927498
128	0.9017237562
129	0.8994434355
130	0.8980778682
131	0.8960116992
132	0.8932286936
133	0.8909391401
134	0.8887368878
135	0.886537965
136	0.8848176925
137	0.8830279123
138	0.8814874986
139	0.8790212305
140	0.8778324092
141	0.875583456
142	0.8734322342
143	0.8709777301
144	0.868991276
145	0.8672272815
146	0.8649183878
147	0.8629051083
148	0.8605435057
149	0.8587355179
150	0.8567292615
151	0.8547805097
152	0.853212665
153	0.8513564266
154	0.8493273968
155	0.8474160295
156	0.8456722382
157	0.843978446
158	0.8420807665
159	0.8406737188
160	0.8389754756
161	0.8367287169
162	0.8344287085
163	0.832544547
164	0.8307135132
165	0.8289021621
166	0.8271676663
167	0.8248612171
168	0.8229228353
169	0.8219371115
170	0.8203281064
171	0.8182965887
172	0.8166474879
173	0.815114029
174	0.8131381059
175	0.8112807027
176	0.8097202006
177	0.8076779277
178	0.8056665285
179	0.8038578572
180	0.8021211816
181	0.8003775064
182	0.7987148922
183	0.7969464328
184	0.7955199406
185	0.7937583772
186	0.7921730805
187	0.7907579346
188	0.7888505107
189	0.7867287383
190	0.7850666413
191	0.7835541261
192	0.781760502
193	0.7802293491
194	0.7787481629
195	0.7771836223
196	0.775227395
197	0.7736269821
198	0.7721526583
199	0.7698903226
200	0.7682092892
201	0.7666427537
202	0.7649075948
203	0.7630149506
204	0.7610457337
205	0.7594234159
206	0.7578547899
207	0.7559839926
208	0.7547498221
209	0.7538317216
210	0.7513837569
211	0.7498519297
212	0.7474350533
213	0.7459138865
214	0.7440430876
215	0.7424937431
216	0.7410060954
217	0.7391877279
218	0.7378498045
219	0.7366031805
220	0.7345559919
221	0.7330502451
222	0.7313753291
223	0.7302184732
224	0.7285738053
225	0.7272665077
226	0.7257101857
227	0.7247799713
228	0.7227167807
229	0.7214002639
230	0.7194170666
231	0.7182654793
232	0.7166780237
233	0.7153477593
234	0.713001292
235	0.7111218217
236	0.7101593317
237	0.7085227177
238	0.706940845
239	0.705695098
240	0.7043746152
241	0.7028419315
242	0.7011693672
243	0.6998985617
244	0.6985522205
245	0.697270048
246	0.6959399142
247	0.6937821526
248	0.6926151993
249	0.6908684577
250	0.6894171564
251	0.6883879752
252	0.6867519167
253	0.6854046056
254	0.684083803
255	0.6830548385
256	0.6813293615
257	0.680104425
258	0.6791394488
259	0.6780426482
260	0.6770458382
261	0.6759250657
262	0.6742352594
263	0.6731327613
264	0.6718917164
265	0.6709254514
266	0.6697088288
267	0.668478592
268	0.6672783684
269	0.6662631066
270	0.6650609992
271	0.6639214469
272	0.6626122466
273	0.6614819814
274	0.6600810452
275	0.6589134337
276	0.6576708114
277	0.6564726989
278	0.655526869
279	0.6544591755
280	0.6533633829
281	0.65245067
282	0.651601082
283	0.6499810155
284	0.6488220451
285	0.6473219689
286	0.6463900514
287	0.6448049518
288	0.6437269316
289	0.6421741905
290	0.6410170047
291	0.6398895585
292	0.6386876038
293	0.6377889724
