iter	Passed	Remaining
0	29	23291
1	49	19794
2	76	20264
3	94	18897
4	118	18814
5	138	18378
6	160	18157
7	180	17851
8	200	17646
9	220	17457
10	239	17173
11	258	17002
12	276	16767
13	294	16529
14	318	16664
15	340	16691
16	362	16692
17	384	16703
18	403	16595
19	427	16662
20	445	16538
21	467	16526
22	485	16417
23	503	16294
24	532	16507
25	552	16440
26	572	16389
27	593	16352
28	611	16270
29	633	16261
30	651	16163
31	670	16099
32	690	16056
33	709	15975
34	727	15902
35	750	15929
36	771	15907
37	790	15858
38	813	15881
39	832	15824
40	851	15766
41	870	15704
42	888	15645
43	909	15627
44	927	15556
45	951	15593
46	969	15536
47	988	15479
48	1006	15431
49	1024	15369
50	1048	15392
51	1072	15433
52	1102	15537
53	1106	15280
54	1124	15230
55	1149	15273
56	1168	15231
57	1189	15223
58	1207	15168
59	1229	15169
60	1252	15167
61	1272	15141
62	1291	15106
63	1321	15199
64	1347	15231
65	1370	15243
66	1388	15186
67	1416	15244
68	1435	15209
69	1462	15254
70	1481	15211
71	1501	15179
72	1530	15238
73	1551	15225
74	1569	15174
75	1588	15130
76	1606	15085
77	1624	15039
78	1647	15040
79	1668	15012
80	1686	14969
81	1706	14945
82	1731	14953
83	1751	14928
84	1772	14911
85	1799	14939
86	1820	14919
87	1842	14908
88	1868	14926
89	1887	14891
90	1910	14882
91	1929	14848
92	1957	14882
93	1979	14870
94	2000	14844
95	2020	14817
96	2041	14797
97	2059	14756
98	2081	14736
99	2098	14691
100	2126	14716
101	2146	14689
102	2166	14657
103	2190	14660
104	2210	14628
105	2231	14613
106	2253	14596
107	2280	14612
108	2303	14600
109	2323	14573
110	2342	14543
111	2363	14520
112	2385	14502
113	2410	14506
114	2430	14476
115	2450	14447
116	2472	14432
117	2492	14406
118	2513	14382
119	2530	14337
120	2557	14352
121	2578	14327
122	2600	14313
123	2622	14299
124	2644	14281
125	2668	14276
126	2692	14268
127	2711	14236
128	2734	14221
129	2751	14179
130	2771	14154
131	2792	14129
132	2814	14116
133	2836	14100
134	2858	14080
135	2879	14056
136	2903	14049
137	2924	14030
138	2941	13990
139	2973	14017
140	2995	13999
141	3016	13978
142	3035	13946
143	3059	13937
